id,supplier_id,created_by,submitted_date,creation_date,status_id,expected_date,shipping_fee,taxes,payment_date,payment_amount,payment_method,notes,approved_by,approved_date,submitted_by
102,1,1,3/24/2006 0:00:00,3/24/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #41,2,4/4/2006 0:00:00,1
103,2,1,3/24/2006 0:00:00,3/24/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #42,2,4/4/2006 0:00:00,1
104,2,1,3/24/2006 0:00:00,3/24/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #45,2,4/4/2006 0:00:00,1
105,5,7,3/24/2006 0:00:00,3/24/2006 0:00:00,2,,0,0,,0,Check,Purchase generated based on Order #46,2,4/4/2006 0:00:00,7
106,6,7,3/24/2006 0:00:00,3/24/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #46,2,4/4/2006 0:00:00,7
107,1,6,3/24/2006 0:00:00,3/24/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #47,2,4/4/2006 0:00:00,6
110,1,3,3/24/2006 0:00:00,3/24/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #49,2,4/4/2006 0:00:00,3
109,2,4,3/24/2006 0:00:00,3/24/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #48,2,4/4/2006 0:00:00,4
108,2,4,3/24/2006 0:00:00,3/24/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #48,2,4/4/2006 0:00:00,4
140,6,,4/25/2006 0:00:00,4/25/2006 16:40:51,2,,0,0,,0,,,2,4/25/2006 16:41:33,2
142,8,,4/25/2006 0:00:00,4/25/2006 17:18:29,2,,0,0,,0,Check,,2,4/25/2006 17:18:51,2
141,8,,4/25/2006 0:00:00,4/25/2006 17:10:35,2,,0,0,,0,,,2,4/25/2006 17:10:55,2
92,2,2,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,,2,1/22/2006 0:00:00,2
91,3,2,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,,2,1/22/2006 0:00:00,2
90,1,2,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,,2,1/22/2006 0:00:00,2
93,5,2,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,,2,1/22/2006 0:00:00,2
94,6,2,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,,2,1/22/2006 0:00:00,2
95,4,2,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,,2,1/22/2006 0:00:00,2
96,1,5,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #30,2,1/22/2006 0:00:00,5
97,2,7,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #33,2,1/22/2006 0:00:00,7
98,2,4,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #36,2,1/22/2006 0:00:00,4
99,1,3,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #38,2,1/22/2006 0:00:00,3
100,2,9,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #39,2,1/22/2006 0:00:00,9
101,1,2,1/14/2006 0:00:00,1/22/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #40,2,1/22/2006 0:00:00,2
111,1,2,3/31/2006 0:00:00,3/31/2006 0:00:00,2,,0,0,,0,,Purchase generated based on Order #56,2,4/4/2006 0:00:00,2
148,5,2,4/26/2006 18:33:52,4/26/2006 18:33:52,1,,0,0,,0,,,,,2
146,2,2,4/26/2006 18:26:37,4/26/2006 18:26:37,1,,0,0,,0,,,,,2
147,7,2,4/26/2006 18:33:28,4/26/2006 18:33:28,1,,0,0,,0,,,,,2
